都道府県,市町村,一般競争 ,総合評価落札方式,プロポーザル方式,低入札価格調査・最低制限価格制度,予定価格の公表,R1年度競争入札平均落札率
北海道 ,函館市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.936
北海道 ,小樽市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.924
北海道 ,旭川市,本格導入 ,導入していない ,試行導入,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.89
北海道 ,室蘭市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,案件により事後公表及び事前公表を併用,0.9
北海道 ,釧路市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,案件により事後公表及び事前公表を併用,0.896
北海道 ,帯広市,本格導入 ,導入していない ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.927
北海道 ,北見市,導入していない ,導入していない ,本格導入,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.87
北海道 ,夕張市,試行導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.923
北海道 ,岩見沢市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.906
北海道 ,網走市,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,"原則非公表、一部案件
で事前公表",-
北海道 ,留萌市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.905
北海道 ,苫小牧市,本格導入 ,導入していない ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,案件により事後公表及び事前公表を併用,0.918
北海道 ,稚内市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,"原則非公表、一部案件
で事前公表",-
北海道 ,美唄市,導入していない ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.926
北海道 ,芦別市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,-
北海道 ,江別市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.931
北海道 ,赤平市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.947
北海道 ,紋別市,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.954
北海道 ,士別市,導入していない ,導入していない ,導入していない ,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.94
北海道 ,名寄市,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.931
北海道 ,三笠市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.944
北海道 ,根室市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.927
北海道 ,千歳市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.915
北海道 ,滝川市,本格導入 ,導入していない ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.742
北海道 ,砂川市,導入していない ,導入していない ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.952
北海道 ,歌志内市,導入していない ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.941
北海道 ,深川市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,"原則事前公表、一部の
案件で事後公表を試行",0.931
北海道 ,富良野市,試行導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.935
北海道 ,登別市,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,恵庭市,導入していない ,導入していない ,本格導入 ,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.856
北海道 ,伊達市,導入していない ,導入していない ,導入していない ,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.939
北海道 ,北広島市,本格導入 ,導入していない ,試行導入,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.904
北海道 ,石狩市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.891
北海道 ,北斗市,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.934
北海道 ,当別町,試行導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.953
北海道 ,新篠津村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,松前町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.939
北海道 ,福島町,導入していない ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.93
北海道 ,知内町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.96
北海道 ,木古内町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.932
北海道 ,七飯町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.933
北海道 ,鹿部町,導入していない ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件事後公表 ,-
北海道 ,森町,試行導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.863
北海道 ,八雲町,本格導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.847
北海道 ,長万部町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,-
北海道 ,江差町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.928
北海道 ,上ノ国町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,-
北海道 ,厚沢部町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,-
北海道 ,乙部町,導入していない ,導入していない ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.931
北海道 ,奥尻町,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.945
北海道 ,今金町,本格導入 ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.957
